Kanji,Reading,English
血管,けっかん,blood vessel
決行,けっこう,proceed
決算,けっさん,financial statement
決勝,けっしょう,final
結晶,けっしょう,crystal
結成,けっせい,formation
結束,けっそく,to bind; to tie; to fasten; to unite; to consolidate
傑,けつ,outstanding
決意,けつい,determination
決議,けつぎ,resolution
結合,けつごう,coupling
決断,けつだん,decision
欠乏,けつぼう,deficiency
蹴飛ばす,けとばす,kick
貶す,けなす,to belittle
煙たい,けむたい,smoky
煙る,けむる,smoky
家来,けらい,house guest
けれど,けれど,but
圏,けん,category
権,けん,power
権威,けんい,authority
兼業,けんぎょう,side occupation
権限,けんげん,authority
健在,けんざい,alive
懸賞,けんしょう,sweepstakes
検事,けんじ,prosecutor
健全,けんぜん,healthy
見地,けんち,perspective
賢明,けんめい,wise
倹約,けんやく,"thrift, economy, frugality"
兼用,けんよう,multi-purpose
権力,けんりょく,power
劇団,げきだん,theater troupe
激励,げきれい,motivate
月謝,げっしゃ,tuition fee
げっそり,げっそり,drowsiness
月賦,げっぷ,monthly payment
下痢,げり,diarrhea
原,げん,original
原形,げんけい,pattern
現行,げんこう,current
原作,げんさく,Original work
原子,げんし,atom
元首,げんしゅ,Head of state
原書,げんしょ,Original book
減少,げんしょう,decrease
現場,げんじょう,the scene
元素,げんそ,element
原則,げんそく,"Generally, by default"
現像,げんぞう,phenomenon
現地,げんち,local
限定,げんてい,limited
原点,げんてん,Origin; starting point; root
原典,げんてん,Original text
減点,げんてん,deduct points
原爆,げんばく,atomic bomb
原文,げんぶん,Original text
厳密,げんみつ,precise
原油,げんゆ,crude oil
言論,げんろん,"speech, expression, discourse"
故,こ,deceased
戸,こ,door
児,こ,child
巨,こ,giant
恋する,こいする,falling in love
溝,こう,channel
校,こう,school
好意,こうい,favor
行為,こうい,behavior
行員,こういん,passenger
交易,こうえき,trade
公演,こうえん,public performance
後悔,こうかい,regret
公開,こうかい,public
航海,こうかい,navigation
工学,こうがく,engineering
皇居,こうきょ,Imperial Palace
好況,こうきょう,booming economy
抗議,こうぎ,protest
鉱業,こうぎょう,mining
興業,こうぎょう,business
高原,こうげん,Highland
煌々と,こうこうと,brilliantly
考古学,こうこがく,archaeology
交互,こうご,intermittent
工作,こうさく,work
耕作,こうさく,cultivation
鉱山,こうざん,mine
講習,こうしゅう,workshop
交渉,こうしょう,negotiation
高尚,こうしょう,sophisticated
行進,こうしん,March
香辛料,こうしんりょう,spices
口述,こうじゅつ,dictation
控除,こうじょ,deduction
向上,こうじょう,improvement
降水,こうすい,precipitation
洪水,こうずい,flood
公然,こうぜん,in public
抗争,こうそう,protest
構想,こうそう,"concept, plan, idea"
拘束,こうそく,restraint
後退,こうたい,retreat
光沢,こうたく,glossiness
公団,こうだん,public housing
好調,こうちょう,doing well
口頭,こうとう,verbal
講読,こうどく,"lecturing, reading aloud"
購読,こうどく,subscription
購入,こうにゅう,purchase
公認,こうにん,"official, certified"
光熱費,こうねつひ,"electricity bill, gas bill"
荒廃,こうはい,"decline, deterioration, ruin"
購買,こうばい,purchase
好評,こうひょう,popular
交付,こうふ,delivery
降伏,こうふく,surrender
興奮,こうふん,excitement
公募,こうぼ,open recruitment
巧妙,こうみょう,"clever, ingenious, skillful, cunning, artful"
公用,こうよう,official
小売,こうり,retail
効率,こうりつ,efficiency
公立,こうりつ,public
小柄,こがら,small
小切手,こぎって,Cheque
国産,こくさん,"domestic, made in Japan"
国定,こくてい,National
国土,こくど,territory
告白,こくはく,Confession
国防,こくぼう,defense
国有,こくゆう,national
国連,こくれん,United Nations
漕ぐ,こぐ,to row
焦げ茶,こげちゃ,burnt brown
個々,ここ,individually
箇箇,ここ,individual
心地,ここち,"pleasure, satisfaction, comfort"
心得,こころえ,"experience, insight"
心掛け,こころがけ,"effort, endeavor, care"
心掛ける,こころがける,to focus on
志,こころざし,"goal, ambition, aspiration, purpose, will, determination"
志す,こころざす,to aspire to; to aim for; to strive for
心強い,こころづよい,"encouraging, reassuring, comforting"
心細い,こころぼそい,"lonely, uneasy, anxious"
試み,こころみ,attempt
試みる,こころみる,to try
快い,こころよい,"good, nice, pleasant"
凝らす,こごらす,to focus on; to concentrate
凝る,こごる,to congeal
拵える,こしらえる,"to prepare, to make, to fabricate, to arrange"
孤児,こじ,Orphan
拗れる,こじれる,to be envious of
故人,こじん,deceased
梢,こずえ,twig
個性,こせい,individuality
戸籍,こせき,family register
小銭,こぜに,coins
固体,こたい,solid
答え,こたえ,answer
堪える,こたえる,"to bear, to endure, to tolerate, to put up with, to withstand"
火燵,こたつ,low table
古代,こだい,ancient
こだわる,こだわる,to pay close attention to; to take seriously; to cherish
誇張,こちょう,exaggeration
滑稽,こっけい,"humorous, amusing, comical, funny"
国交,こっこう,foreign relations
骨董品,こっとうひん,antiques
骨,こつ,bone
固定,こてい,fixed
事柄,ことがら,"matter, affair, case, issue"
悉く,ことごとく,"completely, invariably, always"
言伝,ことづて,Word of mouth
殊に,ことに,especially
事によると,ことによると,By chance
孤独,こどく,loneliness
粉々,こなごな,powdered
此の,この,this
この間,このあいだ,during this period
この頃,このごろ,These days
好ましい,このましい,desirable
個別,こべつ,individual
零す,こぼす,to waste
零れる,こぼれる,"to disappear, to vanish, to fade away, to be lost"
細やか,こまやか,nuanced
混む,こむ,to become mixed up; to be crowded
込める,こめる,"to put in, to incorporate, to instill, to imbue"
篭る,こもる,to be enclosed; to be trapped
固有,こゆう,"unique, inherent, intrinsic, specific"
雇用,こよう,employment
暦,こよみ,calendar
堪える,こらえる,"to bear, to endure, to tolerate, to put up with, to withstand"
孤立,こりつ,isolation
懲りる,こりる,to become stubborn; to harden
此れ,これ,this
此れ等,これら,"these, these kinds of"
魂,こん,soul
根気,こんき,perseverance
根拠,こんきょ,"basis, justification, rationale"
混血,こんけつ,mixed-race
昆虫,こんちゅう,insects
根底,こんてい,"foundation, bedrock, core"
混同,こんどう,confusion
今日は,こんにちは,Today
今晩は,こんばんは,Tonight
根本,こんぽん,root
御,ご,"lord, master, sir, esteemed"
語彙,ごい,Vocabulary
濠,ごう,Moat
業,ごう,"business, occupation, work, karma"
号,ごう,number
合意,ごうい,agreement
合議,ごうぎ,agreement
強気,ごうぎ,assertive
合成,ごうせい,synthetic
護衛,ごえい,escort
語句,ごく,terms
極楽,ごくらく,paradise
ご苦労様,ごくろうさま,Thank you for your hard work
語源,ごげん,Etymology
誤差,ごさ,error
ご座います,ございます,sit
ご馳走,ごちそう,"feast, treat, hospitality"
ご馳走さま,ごちそうさま,Thank you for the meal
毎,ごと,every
碁盤,ごばん,Go board
ご無沙汰,ごぶさた,long time no see
誤魔化す,ごまかす,"to evade, to deceive, to trick"
御免ください,ごめんください,excuse me
御免なさい,ごめんなさい,excuse me
御覧なさい,ごらんなさい,Please take a look
佐,さ,Sato
再,さい,again
差異,さい,difference
歳,さい,age
再会,さいかい,reunion
災害,さいがい,disaster
細菌,さいきん,bacteria
細工,さいく,craftsmanship
採掘,さいくつ,mining
採決,さいけつ,vote
再建,さいけん,reconstruction
再現,さいげん,reproduce
採算,さいさん,accounting; balance sheet; profit and loss statement
採集,さいしゅう,collecting
再生,さいせい,reproduction
最善,さいぜん,best
採択,さいたく,adoption
再発,さいはつ,recurrence
栽培,さいばい,cultivation
細胞,さいぼう,cell
採用,さいよう,recruitment
遮る,さえぎる,"to obstruct, to block, to hinder, to impede"
囀る,さえずる,to chirp
冴える,さえる,"shine, stand out, be brilliant"
竿,さお,rod
栄える,さかえる,to flourish
杯,さかずき,cup
逆立ち,さかだち,backflip
逆上る,さかのぼる,"to reverse, to turn around, to go against"
盛る,さかる,"to flourish, to prosper, to grow"
差額,さがく,difference in amount
下がる,さがる,"to decrease, to fall, to go down"
一昨昨日,さきおととい,The day before yesterday
先に,さきに,in advance
詐欺,さぎ,fraud
作,さく,"to make, to create, to do"
策,さく,"strategy, plan, measure, scheme, course of action"
柵,さく,fence
削減,さくげん,reduction
錯誤,さくご,Error
作戦,さくせん,operation
作物,さくぶつ,crops
叫び,さけび,cry
裂ける,さける,"to crack, to split, to fracture"
捧げる,ささげる,to offer
差し掛かる,さしかかる,approaching
指図,さしず,Orders
差し出す,さしだす,to offer
差し支える,さしつかえる,to cause inconvenience
差し引く,さしひく,deduct
些事,さじ,trifles
授ける,さずける,"to bestow, to impart, to give"
嘸,さぞ,no
定まる,さだまる,determined
定める,さだめる,"to determine, to specify, to decide, to establish"
錯覚,さっかく,illusions
早急,さっきゅう,as soon as possible
察する,さっする,"to sense, to perceive, to detect, to realize"
さっと,さっと,"quickly, lightly, briefly"
冊,さつ,volume
殺人,さつじん,murder
偖,さて,preparation
悟る,さとる,"to realize, to understand, to perceive"
真実,さな,truth
裁く,さばく,to judge
錆び,さび,rust
左程,さほど,roughly
様,さま,"various, esteemed, honorable, respected, sir, madam, Mr., Ms., Mrs."
三味線,さみせん,shamisen
侍,さむらい,samurai
然も,さも,Also
作用,さよう,effect
左様なら,さようなら,If so
拐う,さらう,abduct
爽やか,さわやか,Refreshing
障る,さわる,obstruct
酸,さん,acid
さん,さん,"Mr., Ms., Mrs."
酸化,さんか,oxidation
山岳,さんがく,mountain
産休,さんきゅう,maternity leave
桟橋,さんきょう,pier
参議院,さんぎいん,Senate
産後,さんご,postpartum
産出,さんしゅつ,"product, output"
参照,さんしょう,reference
参上,さんじょう,"appear, present oneself"
賛成,さんせい,agree
賛美,さんび,praise
産婦人科,さんふじんか,Obstetrics and Gynecology
産物,さんぶつ,product
山腹,さんぷく,slope
山脈,さんみゃく,mountain range
財,ざい,assets
財源,ざいげん,financial resources
在庫,ざいこ,inventory
財政,ざいせい,finance
座談会,ざだんかい,panel discussion
雑貨,ざっか,novelty items
雑,ざつ,Miscellaneous
雑談,ざつだん,small talk
雑木,ざつぼく,mixed forest
座標,ざひょう,coordinates
残金,ざんきん,remaining balance
残酷,ざんこく,brutal
残高,ざんだか,balance
死,し,death
し,し,yes
次,し,next
仕上がり,しあがり,finished product
仕上げ,しあげ,finishing
仕上げる,しあげる,"to finish, to complete, to perfect"
明々後日,しあさって,the day after tomorrow
飼育,しいく,"raising, keeping, breeding"
強いて,しいて,If I must
強いる,しいる,to force
仕入れる,しいれる,"to procure, to purchase, to import"
しいんと,しいんと,shii-nto
歯科,しか,dentistry
資格,しかく,qualification
視覚,しかく,vision
仕掛け,しかけ,"mechanism, device, trick, contrivance, gadget"
仕掛ける,しかける,to leave something unfinished; to postpone
然し,しかし,However
然しながら,しかしながら,Despite this
而も,しかも,also
市街,しがい,urban area
指揮,しき,command
色彩,しきさい,color
式場,しきじょう,ceremony venue
為来り,しきたり,for coming
頻りに,しきりに,frequently
仕切る,しきる,"to separate, to divide, to partition"
資金,しきん,funds
施行,しぎょう,implementation
しくじる,しくじる,circumstances
仕組み,しくみ,mechanism
死刑,しけい,death penalty
湿気る,しける,humidity
思考,しこう,thought
志向,しこう,"tendency, inclination, aspiration, ambition, purpose"
嗜好,しこう,preference
視察,しさつ,site inspection
資産,しさん,assets
刺繍,ししゅう,Embroidery
支持,しじ,support
指示,しじ,instruction
雫,しずく,drop
沈める,しずめる,sinking
施設,しせつ,facility
子息,しそく,son
慕う,したう,to admire; to yearn for; to cherish
従って,したがって,Therefore
下心,したごころ,undercurrent
親しむ,したしむ,"to enjoy, to appreciate, to relish"
下調べ,したしらべ,preliminary investigation
下地,したじ,foundation
認める,したためる,acknowledge
仕立てる,したてる,"to make, to tailor, to dress"
下取り,したどり,trade-in
下火,したび,"cooling down, fading"
失格,しっかく,invalid
確り,しっかり,certainly
質素,しっそ,"simple, modest, plain"
失調,しっちょう,out of sync
嫉妬,しっと,jealousy
尻尾,しっぽ,tail
室,しつ,room
質疑,しつぎ,Q&A
躾,しつけ,"manners, upbringing, training, discipline"
仕付ける,しつける,"to finish, to complete, to close"
指摘,してき,point out
視点,してん,perspective
萎びる,しなびる,to wilt
嫋か,しなやか,"graceful, supple, pliable, yielding"
屎尿,しにょう,"shit, excrement, sewage"
凌ぐ,しのぐ,"surpass, exceed, outdo, excel"
始発,しはつ,First train
芝,しば,beach
屡,しばしば,often
暫く,しばらく,for a while
痺れる,しびれる,numbness
渋い,しぶい,"cool, stylish, awesome"
私物,しぶつ,Personal belongings
しぶとい,しぶとい,stubborn
司法,しほう,law
脂肪,しぼう,fat
志望,しぼう,"desire, aspiration, ambition"
萎む,しぼむ,"deflate, wither"
仕舞,しまい,"to put away, to hide, to conceal, to retire, to withdraw, to pack away, to close"
仕舞う,しまう,"to put away, to hide, to conceal, to tuck away"
しまった,しまった,done
始末,しまつ,"settle up, wrap up, take care of"
泌み泌み,しみじみ,"urine, urination"
染みる,しみる,"to stain, to soak"
使命,しめい,mission
締め切り,しめきり,Deadline
僕,しもべ,"I, me"
社交,しゃこう,socializing
謝絶,しゃぜつ,Thank you very much
社宅,しゃたく,Company housing
吃逆,しゃっくり,to eat up all the food
喋る,しゃべる,to speak
斜面,しゃめん,slope
洒落,しゃらく,"to be stylish, to be fashionable, to be witty, to be nonchalant"
洒落る,しゃれる,"to fall, to spill, to drip, to flow, to be stylish"
視野,しや,perspective
種,しゅ,species
衆,しゅう,the people; the masses; the public; the legislature
周,しゅう,"around, vicinity, surrounding area"
収益,しゅうえき,revenue
修学,しゅうがく,studying
周期,しゅうき,period
衆議院,しゅうぎいん,Diet
就業,しゅうぎょう,employment
修行,しゅうぎょう,meditation
集計,しゅうけい,aggregation
襲撃,しゅうげき,raid
収支,しゅうし,income and expenses
終始,しゅうし,throughout
修士,しゅうし,Master's degree
収集,しゅうしゅう,collection
修飾,しゅうしょく,modifier
終日,しゅうじつ,all day
執着,しゅうじゃく,obsession
収容,しゅうよう,"contain, house, accommodate"
修了,しゅうりょう,completion
守衛,しゅえい,Security guard
主演,しゅえん,Leading role
主観,しゅかん,subjective
祝賀,しゅくが,congratulations
宿命,しゅくめい,fate
主権,しゅけん,sovereignty
手芸,しゅげい,crafts
主催,しゅさい,Organizer
取材,しゅざい,reporting
趣旨,しゅし,"purpose, intention, aim, object"
主食,しゅしょく,staple food
主人公,しゅじんこう,protagonist
主体,しゅたい,Subject
主題,しゅだい,Theme
出血,しゅっけつ,bleeding
出産,しゅっさん,childbirth
出社,しゅっしゃ,coming to work
出生,しゅっしょう,birth
出世,しゅっせ,"promotion, career advancement, rising through the ranks"
出費,しゅっぴ,expenses
出品,しゅっぴん,Listing
出演,しゅつえん,appearance
出題,しゅつだい,"testing, posing questions, quizzing"
出動,しゅつどう,Dispatch
主導,しゅどう,"to lead, to take the lead, to be in charge, to direct"
主任,しゅにん,Head
首脳,しゅのう,top leaders
守備,しゅび,defense
手法,しゅほう,method
私有,しゆう,Private property
諸,しょ,"various, diverse, numerous, many, a multitude of"
背負う,しょう,to carry on one's back; to bear; to shoulder
象,しょう,elephant
症,しょう,symptoms
傷,しょう,wound
商,しょう,business
消去,しょうきょ,delete
衝撃,しょうげき,shock
証言,しょうげん,testimony
証拠,しょうこ,evidence
消耗,しょうこう,depletion
照合,しょうごう,matching
詳細,しょうさい,detailed
昇進,しょうしん,promotion
少数,しょうすう,minority
称する,しょうする,to admire
消息,しょうそく,news
承諾,しょうだく,agreement
象徴,しょうちょう,symbol
小児科,しょうにか,pediatrics
証人,しょうにん,witness
照明,しょうめい,lighting
勝利,しょうり,victory
奨励,しょうれい,encouragement
職員,しょくいん,staff
植民地,しょくみんち,colony
職務,しょくむ,"job, work, duties"
諸君,しょくん,"Everyone, everyone"
所在,しょざい,location
所々,しょしょ,"occasionally, sporadically, here and there"
所持,しょじ,Possessions
所属,しょぞく,affiliation
処置,しょち,procedure
しょっちゅう,しょっちゅう,frequently
所定,しょてい,"standard, prescribed, regular"
所得,しょとく,income
初版,しょはん,First edition
処罰,しょばつ,punishment
書評,しょひょう,book review
処分,しょぶん,disposal
庶民,しょみん,common people
庶務,しょむ,clerical work
私用,しよう,personal matters
仕様,しよう,specifications
使用人,しようにん,employee
調べ,しらべ,investigate
知り合い,しりあい,acquaintance
退く,しりぞく,to withdraw
退ける,しりぞける,refuse
記す,しるす,to record
指令,しれい,instruction
代,しろ,replacement
皺,しわ,wrinkle
新,しん,new
進化,しんか,evolution
殿,しんがり,"lord, sir, master"
審議,しんぎ,deliberation
進行,しんこう,progress
新興,しんこう,Emerging
振興,しんこう,promotion
申告,しんこく,declaration
新婚,しんこん,Newlyweds
審査,しんさ,"examination, evaluation, review"
紳士,しんし,gentleman
進出,しんしゅつ,"entry, advance, expansion"
信者,しんじゃ,believer
真珠,しんじゅ,pearl
心中,しんじゅう,"heart, mind, feelings"
心情,しんじょう,mood
新人,しんじん,newcomer
神聖,しんせい,holy
親善,しんぜん,friendship
真相,しんそう,the truth
新築,しんちく,new construction
進呈,しんてい,present
進展,しんてん,progress
神殿,しんでん,temple
進度,しんど,progress
振動,しんどう,vibration
新入生,しんにゅうせい,new students
信任,しんにん,trust
審判,しんばん,judgment
神秘,しんぴ,Mysterious
辛抱,しんぼう,patience
真理,しんり,truth
侵略,しんりゃく,invasion
診療,しんりょう,medical examination
進路,しんろ,career path
自覚,じかく,self-awareness
地方,じかた,local
自我,じが,self
磁気,じき,magnetism
磁器,じき,porcelain
事業,じぎょう,business
地形,じぎょう,terrain
軸,じく,axis
自己,じこ,self
事項,じこう,"matter, item, point"
時刻表,じこくひょう,schedules
地獄,じごく,Hell
時差,じさ,Time difference
自在,じざい,free
自主,じしゅ,independent
自首,じしゅ,surrender
辞職,じしょく,resignation
自信,じしん,confidence
事前,じぜん,in advance
自尊心,じそんしん,self-esteem
持続,じぞく,sustainability
字体,じたい,font
辞退,じたい,refusal
じっくり,じっくり,"thoroughly, carefully, attentively, deliberately"
実質,じっしつ,"real, actual, substantive"
実践,じっせん,practical application
実態,じったい,reality
実費,じっぴ,out-of-pocket expenses
十分,じっぷん,enough
実,じつ,real
実業家,じつぎょうか,entrepreneur
実情,じつじょう,reality
自転,じてん,self-propelled bicycle
自動詞,じどうし,action verb
地主,じぬし,Landowner
耳鼻科,じびか,ENT
地元,じもと,local
弱,じゃく,weak
若干,じゃっかん,somewhat
砂利,じゃり,gravel
じゃん拳,じゃんけん,rock-paper-scissors
住,じゅう,"residence, living"
従業員,じゅうぎょういん,Employee
従事,じゅうじ,to engage in
充実,じゅうじつ,fulfilling
十字路,じゅうじろ,crossroads
絨毯,じゅうたん,rug
柔軟,じゅうなん,flexible
重複,じゅうふく,redundancy
重宝,じゅうほう,valuable
従来,じゅうらい,previously
塾,じゅく,cram school
樹木,じゅもく,trees
樹立,じゅりつ,establish
準急,じゅんきゅう,semi-express
準じる,じゅんじる,to conform to; to adhere to; to comply with; to be equivalent to; to be similar to
準ずる,じゅんずる,similar to
助,じょ,help
情,じょう,"emotion, feeling, sentiment"
畳,じょう,tatami
尉,じょう,lieutenant
嬢,じょう,Miss
状,じょう,letter
上位,じょうい,"top, upper, higher"
上演,じょうえん,performance
城下,じょうか,town
乗客,じょうかく,passenger
上空,じょうくう,airspace
上司,じょうし,supervisor
情緒,じょうしょ,Mood
上昇,じょうしょう,increase
情勢,じょうせい,Situation
情熱,じょうねつ,passion
丈夫,じょうふ,sturdy
譲歩,じょうほ,concession
条約,じょうやく,treaty
上陸,じょうりく,Landing
蒸留,じょうりゅう,distillation
除外,じょがい,exclusion
助言,じょげん,advice
徐行,じょこう,slowly
女史,じょし,Madam
助詞,じょし,particle
助動詞,じょどうし,Auxiliary verb
自立,じりつ,independence
人,じん,person
人格,じんかく,personality
人材,じんざい,human resources
迅速,じんそく,"quickly, rapidly, swiftly"
人体,じんたい,human body
人民,じんみん,people
人目,じんもく,eyebrow
水気,すいき,Moisture
水源,すいげん,water source
推進,すいしん,propulsion
水洗,すいせん,washable
吹奏,すいそう,playing music together
推測,すいそく,speculation
水田,すいでん,rice paddy
推理,すいり,deduction
数詞,すうし,Numeral
崇拝,すうはい,worship
据え付ける,すえつける,to attach
据える,すえる,to be attached
清々しい,すがすがしい,"fresh, refreshing, invigorating"
過ぎ,すぎ,past
救い,すくい,salvation
掬う,すくう,to scoop up
少なくとも,すくなくとも,at least
直ぐ,すぐ,"immediately, right away, just now"
健やか,すこやか,healthy
濯ぐ,すすぐ,to rinse
進み,すすみ,"advance, proceed, move forward"
勧め,すすめ,recommend
裾,すそ,hem
廃れる,すたれる,to become obsolete; to fall into disuse; to disappear; to fade away
酸っぱい,すっぱい,sour
素敵,すてき,"wonderful, lovely, fantastic, great"
即ち,すなわち,That is
すばしこい,すばしこい,agile
素早い,すばやい,quick
済ます,すます,"to settle, to resolve, to finish"
澄ます,すます,clarify
済まない,すまない,I'm sorry
済みません,すみません,I'm sorry
天皇,すめらぎ,Emperor
刷り,すり,"printing, printing out"
剃る,する,to shave
擦れ違い,すれちがい,misunderstanding
すれ違う,すれちがう,to pass each other
擦れる,すれる,rubbing
すんなり,すんなり,"smoothly, easily, without difficulty"
図々しい,ずうずうしい,"impertinent, presumptuous, cheeky, bold"
ずばり,ずばり,"directly, plainly, plainly"
ずぶ濡れ,ずぶぬれ,Soaked to the bone
ずらっと,ずらっと,in a row
ずるずる,ずるずる,slippery
ずれ,ずれ,misalignment
ずれる,ずれる,"to go off track, to deviate, to misalign, to be out of sync"
制,せい,"rule, regulation, restriction, prohibition, command"
製,せい,"manufacturing, production, making"
生育,せいいく,growth
成果,せいか,"results, outcomes, achievements"
正解,せいかい,correct answer
正規,せいき,regular
正義,せいぎ,justice
生計,せいけい,livelihood
政権,せいけん,government
精巧,せいこう,sophisticated
制裁,せいさい,sanctions
政策,せいさく,policy
清算,せいさん,liquidation
星座,せいざ,constellation
生死,せいし,life and death
静止,せいし,still
青春,せいしゅん,youth
聖書,せいしょ,Bible
誠実,せいじつ,sincerity
成熟,せいじゅく,maturity
清純,せいじゅん,innocence
正常,せいじょう,normal
制する,せいする,to control
整然,せいぜん,"neatly, orderly, well-organized"
盛装,せいそう,dressed up
盛大,せいだい,"grand, magnificent, elaborate"
清濁,せいだく,clear and turbid
制定,せいてい,"formulate, establish, enact"
静的,せいてき,static
製鉄,せいてつ,steelmaking
晴天,せいてん,clear sky
正当,せいとう,legitimate
成年,せいねん,adult
制服,せいふく,uniform
征服,せいふく,conquest
製法,せいほう,manufacturing process
精密,せいみつ,precise
声明,せいめい,statement
姓名,せいめい,Name
制約,せいやく,constraint
生理,せいり,menstrual cycle
勢力,せいりょく,"faction, power, influence"
整列,せいれつ,alignment
急かす,せかす,to hurry someone
伜,せがれ,son
責務,せきむ,responsibility
世辞,せじ,"excuse, pretext, justification"
世帯,せたい,household
世代,せだい,generation
切開,せっかい,cut open
接触,せっしょく,contact
設置,せっち,installation
折衷,せっちゅう,Eclecticism
設定,せってい,settings
説得,せっとく,persuasion
節,せつ,segment
切実,せつじつ,"sincerely, earnestly"
接続詞,せつぞくし,conjunction
切ない,せつない,"melancholy, poignant, heart-wrenching"
設立,せつりつ,establishment
攻め,せめ,"attack, offensive"
世論,せろん,public opinion
仙,せん,immortal; spirit; deity; god; spirit; immortal being; supernatural being
前,せん,"front, ahead, before"
繊維,せんい,fiber
選挙,せんきょ,election
宣教,せんきょう,evangelism
宣言,せんげん,declaration
先行,せんこう,advance
選考,せんこう,selection
戦災,せんさい,War damage
専修,せんしゅう,major
戦術,せんじゅつ,Tactics
潜水,せんすい,scuba diving
先先月,せんせんげつ,early last month
先先週,せんせんしゅう,The week before last
先代,せんだい,predecessor
先だって,せんだって,Recently
先着,せんちゃく,"First come, first served"
先天的,せんてんてき,inborn
戦闘,せんとう,combat
潜入,せんにゅう,infiltration
船舶,せんぱく,vessel
専用,せんよう,dedicated
占領,せんりょう,occupation
戦力,せんりょく,combat strength
税務署,ぜいむしょ,Tax office
是正,ぜせい,"correct, rectify, adjust"
絶版,ぜっぱん,Out of print
絶望,ぜつぼう,despair
是非とも,ぜひとも,Please
膳,ぜん,set meal
禅,ぜん,Zen
全快,ぜんかい,fully recovered
全盛,ぜんせい,peak
前提,ぜんてい,premise
前途,ぜんと,future
全滅,ぜんめつ,total defeat
善良,ぜんりょう,kind
前例,ぜんれい,precedent
僧,そう,monk
沿う,そう,"following, conforming to, adhering to"
添う,そう,"to accompany, to add, to supplement, to illustrate"
総,そう,total
相応,そうおう,appropriate
総会,そうかい,General meeting
創刊,そうかん,Founding
送金,そうきん,transferring money
走行,そうこう,"running, traveling"
総合,そうごう,overall
捜査,そうさ,investigation
捜索,そうさく,search
然うして,そうして,"likewise, similarly, in the same way"
装飾,そうしょく,decoration
操縦,そうじゅう,"operation, control, piloting"
創造,そうぞう,creativity
壮大,そうだい,"grand, magnificent, imposing"
騒動,そうどう,commotion
遭難,そうなん,shipwreck
相場,そうば,market price
装備,そうび,equipment
創立,そうりつ,establishment
添える,そえる,to add
即座に,そくざに,immediately
促進,そくしん,promote
即する,そくする,"suitable, appropriate, corresponds"
束縛,そくばく,restraint
側面,そくめん,side
其処,そこ,there
其処で,そこで,there
損なう,そこなう,"to damage, to spoil, to impair"
其処ら,そこら,there
素材,そざい,material
阻止,そし,prevent
然して,そして,However
訴訟,そしょう,litigation
育ち,そだち,upbringing
措置,そち,measures
其方,そちら,that
素っ気ない,そっけない,unrefined
率直,そっちょく,frankly
外方,そっぽ,outward
備え付ける,そなえつける,"to equip, to provide with"
備わる,そなわる,equipped with
園,その,garden
その上,そのうえ,"Moreover, in addition"
その内,そのうち,of those
その為,そのため,As a result
その外,そのほか,outside
其の儘,そのまま,as is
聳える,そびえる,towering
素朴,そぼく,rustic
染まる,そまる,to be stained
背く,そむく,to back down
染める,そめる,to dye
逸らす,そらす,"to miss, to neglect, to fail"
反り,そり,slack
其れ,それ,that
其れから,それから,Thereafter
各々,それぞれ,each
其れで,それで,Thereupon
其れでは,それでは,That
其れでも,それでも,Even so
其れ共,それとも,that too
其れに,それに,in addition
其れ程,それほど,to that extent
其れ故,それゆえ,That
揃い,そろい,揃い
徐々,そろそろ,gradually
損失,そんしつ,loss
存続,そんぞく,survival
沿い,ぞい,alongside
像,ぞう,statue
増強,ぞうきょう,strengthen
蔵相,ぞうしょう,Minister of State for Cultural Affairs
増進,ぞうしん,"promote, advance, accelerate"
ぞんざい,ぞんざい,careless
他意,たい,Other intention
対応,たいおう,対応
退化,たいか,degeneration
体格,たいかく,build
大概,たいがい,approximately
退学,たいがく,dropping out of school
大金,たいきん,a lot of money
待遇,たいぐう,treatment
対決,たいけつ,confrontation
体験,たいけん,experience
対抗,たいこう,counteraction
対して,たいして,"towards, in relation to, in respect of, for"
大衆,たいしゅう,masses
対処,たいしょ,response
退職,たいしょく,retirement
退治,たいじ,"to subdue, to defeat, to exterminate"
態勢,たいせい,stance
対談,たいだん,interview
対等,たいとう,equal
滞納,たいのう,delay
対比,たいひ,contrast
大部,たいぶ,large-scale
対辺,たいへん,hypotenuse
待望,たいぼう,long-awaited
怠慢,たいまん,negligence
対面,たいめん,face-to-face
体力,たいりょく,physical strength
対話,たいわ,dialogue
耐える,たえる,to endure
絶える,たえる,"to cease, to end, to disappear"
堪える,たえる,"to bear, to endure, to tolerate, to put up with, to withstand"
高,たか,high
高まる,たかまる,"increasing, growing, intensifying"
焚火,たきび,campfire
沢山,たくさん,a lot of
逞しい,たくましい,"spirited, lively, energetic, vigorous, spirited, spirited"
巧み,たくみ,"clever, skillful, ingenious, ingenious"
類,たぐい,"kind, type, category"
丈,たけ,height
足し算,たしざん,addition
多数決,たすうけつ,majority vote
助け,たすけ,help
携わる,たずさわる,to be involved in
漂う,ただよう,drifting
館,たち,"building, hall, institute, complex"
立方,たちかた,Cube
忽ち,たちまち,"suddenly, momentarily, fleetingly"
立ち寄る,たちよる,to stop by
達者,たっしゃ,skilled
達成,たっせい,achievement
たった,たった,alone
尊い,たっとい,"noble, venerable, revered, esteemed"
貴い,たっとい,precious
尊ぶ,たっとぶ,to respect
