Kanji,Reading,English
種,たね,species
束,たば,bundle
度,たび,degree
旅,たび,"trip, journey, travel"
たびたび,たびたび,repeatedly
多分,たぶん,Probably
玉,たま,jade
球,たま,ball
弾,たま,"bullet, projectile, shot"
偶,たま,occasionally
偶々,たまたま,occasionally
たまらない,たまらない,"unbearable, intolerable, unbearable"
黙る,だまる,to remain silent
駄目,だめ,no good
試し,ためし,to try out
試す,ためす,to try
便り,たより,news
頼る,たよる,rely on
誰か,だれか,someone
段,だん,segment
単位,たんい,unit
単語,たんご,word
男子,だんし,male
単純,たんじゅん,simple
誕生,たんじょう,birth
ダンス,ダンス,dance
団体,だんたい,organization
担当,たんとう,responsible for
単なる,たんなる,"simple, mere"
単に,たんに,simply
地,ち,"earth, ground, land, soil, territory"
地位,ちい,status
地域,ちいき,region
チーズ,チーズ,cheese
チーム,チーム,team
知恵,ちえ,wisdom
地下,ちか,Underground
違い,ちがい,difference
違いない,ちがいない,doubt
近頃,ちかごろ,"recently, lately"
地球,ちきゅう,Earth
地区,ちく,district
遅刻,ちこく,late arrival
知事,ちじ,Governor
知識,ちしき,knowledge
父親,ちちおや,father
知能,ちのう,intelligence
地平線,ちへいせん,Horizon
地方,ちほう,local
茶,ちゃ,tea
チャンス,チャンス,chance
ちゃんと,ちゃんと,"properly, correctly, carefully"
中,ちゅう,middle
注,ちゅう,Note
中央,ちゅうおう,center
中学,ちゅうがく,middle school
中古,ちゅうこ,Used
中止,ちゅうし,suspension
駐車,ちゅうしゃ,parking
昼食,ちゅうしょく,lunch
中心,ちゅうしん,center
注目,ちゅうもく,attention
注文,ちゅうもん,order
長期,ちょうき,long-term
調査,ちょうさ,investigation
調子,ちょうし,condition
頂上,ちょうじょう,peak
ちょうだい,ちょうだい,please
貯金,ちょきん,savings
直接,ちょくせつ,directly
著者,ちょしゃ,author
遂に,ついに,finally
通過,つうか,passage
通学,つうがく,Commuting to school
通行,つうこう,"passage, traffic, passage"
通じる,つうじる,"understandable, recognizable, clear"
通信,つうしん,communication
捕まる,つかまる,to be caught
掴む,つかむ,"to grasp, to seize, to grab, to hold"
疲れ,つかれ,fatigue
月,つき,moon
付き合い,つきあい,to be associated with; to be involved with; to accompany; to go with; to be together
次々,つぎつぎ,"one after another, successively"
就く,つく,"to take a job, to work"
注ぐ,つぐ,to pour
付ける,つける,to attach
土,つち,soil
続き,つづき,continue
包み,つつみ,wrapping
勤め,つとめ,to work
務め,つとめ,"occupation, duty, business"
繋ぐ,つなぐ,connect
常に,つねに,always
翼,つばさ,wing
つまり,つまり,In other words
罪,つみ,sin
詰める,つめる,to fill in; to block; to trap
積もる,つもる,accumulate
梅雨,つゆ,plum rain season
辛い,つらい,"spicy, painful, difficult"
釣,つり,fishing
連れ,つれ,"to take with oneself, to accompany, to escort, to bring along, to take, to go with"
で,で,"by, with, in"
出会い,であい,meeting
出会う,であう,to meet
提案,ていあん,proposal
定期,ていき,regular
抵抗,ていこう,resistance
提出,ていしゅつ,submission
程度,ていど,degree
停留所,ていりゅうじょ,bus stop
デート,デート,date
敵,てき,enemy
出来事,できごと,event
適する,てきする,suitable
適切,てきせつ,appropriate
適度,てきど,moderate
適用,てきよう,applicable
できる,（可能。出現。,can do
発生）,発生）,occurrence
出来るだ,できるだけ,possible
できれば,できれば,if possible
手品,てじな,magic tricks
ですから,ですから,Therefore
鉄,てつ,iron
哲学,てつがく,philosophy
手伝い,てつだい,help
徹底,てってい,"thoroughly, completely, rigorously"
鉄道,てつどう,railway
徹夜,てつや,sleepless night
では,では,"Okay, then"
手間,てま,"effort, trouble, hassle"
でも,でも,But
デモ,デモ,demo
典型,てんけい,typical
天候,てんこう,weather
電子,でんし,electronic
テント,テント,tent
伝統,でんとう,tradition
天然,てんねん,natural
度,ど,degree
問い,とい,question
党,とう,party
塔,とう,tower
どう,（接。副）,how
答案,とうあん,Answer
同一,どういつ,same
どうか,どうか,Please
当時,とうじ,at that time
動詞,どうし,verb
同時,どうじ,simultaneously
どうしても,どうしても,no matter what
到着,とうちゃく,arrival
道徳,どうとく,morality
投票,とうひょう,voting
同様,どうよう,similar
同僚,どうりょう,colleague
道路,どうろ,road
十,とお,ten
通す,とおす,"to pass through, to allow through, to get through"
通り,とおり,"way, route, passage, manner, style, method"
通り過ぎ,とおりすぎる,passing by
都会,とかい,city
時,とき,time
解く,とく,to solve
毒,どく,poison
得意,とくい,skilled
読書,どくしょ,reading
独身,どくしん,Single
特徴,とくちょう,characteristic
独特,どくとく,unique
独立,どくりつ,independence
解ける,とける,solveable
どこか,どこか,somewhere
ところが,ところが,However
ところで,ところで,By the way
登山,とざん,mountaineering
都市,とし,city
年月,としつき,"Months, years"
図書,としょ,library
年寄,としより,elderly person
閉じる,とじる,close
途端,とたん,the moment
土地,とち,land
突然,とつぜん,suddenly
トップ,トップ,top
届く,とどく,"arriving, reaching"
とにかく,とにかく,"incredibly, really, absolutely, just"
飛ばす,とばす,"to miss, to overshoot, to pass, to skip"
飛び出す,とびだす,to jump out; to leap out; to spring out
留める,とめる,"to retain, to keep, to preserve, to hold back, to postpone"
友,とも,friend
共に,ともに,together
土曜,どよう,Saturday
虎,とら,tiger
ドライブ,ドライブ,drive
トラック,トラック,truck
ドラマ,ドラマ,drama
トランプ,トランプ,cards
取り上げ,とりあげる,"to take up, to address, to deal with, to handle, to tackle"
努力,どりょく,effort
どれ,どれ,which
ドレス,ドレス,dress
取れる,とれる,to be able to get
泥,どろ,mud
とん,（1000,ton
とんでもない,とんでもない,"extraordinary, incredible, unbelievable, remarkable, amazing"
どんな,どんな,What
どんなに,どんなに,no matter how
トンネル,トンネル,tunnel
名,な,Name
内容,ないよう,content
なお,なお,However
仲,なか,"friendship, relationship, connection, association, bond"
流す,ながす,"to waste, to squander, to spend, to throw away, to let go, to leak"
なかなか,なかなか,not very often
半ば,なかば,partly
仲間,なかま,colleagues
眺め,ながめ,"view, vista, scenery"
眺める,ながめる,"to gaze at, to overlook, to admire"
流れ,ながれ,flow
流れる,ながれる,flowing
無し,なし,None
なぜなら,なぜなら,because
謎,なぞ,mystery
納得,なっとく,to be satisfied
等,など,and
七,なな,seven
何,なに,What
何,なん,What
何か,なにか,something
なにも,なにも,nothing
鍋,なべ,pot
生,なま,living
怠ける,なまける,to be lazy
波,なみ,wave
涙,なみだ,tears
悩む,なやむ,to worry
為る,なる,to do
成る,なる,to become
縄,なわ,Rope
何で,なんで,Why
何でも,なんでも,anything
何とか,なんとか,somehow
似合う,にあう,"suits, goes well with"
匂い,におい,smell
苦手,にがて,"difficult, not good at, weak in"
握る,にぎる,"to grasp, to hold, to seize"
日,にち,day
日常,にちじょう,daily life
日曜,にちよう,Sunday
日光,にっこう,sunlight
日中,にっちゅう,During the day
にっこり,にっこり,with a smile
日本,にっぽん,Japan
日本,にほん,Japan
入院,にゅういん,Hospitalization
入学,にゅうがく,enrollment
入場,にゅうじょう,entry
人気,にんき,popular
人間,にんげん,human
抜く,ぬく,"to remove, to pluck, to extract"
抜ける,ぬける,piercing
布,ぬの,fabric
濡れる,ぬれる,to get wet
ね,（感）,huh
根,ね,root
値,ね,value
願い,ねがい,wish
願う,ねがう,to wish
鼠,ねずみ,rat
値段,ねだん,price
熱心,ねっしん,enthusiastic
熱帯,ねったい,tropical
熱中,ねっちゅう,"intense, engrossed, absorbed"
年間,ねんかん,annual
年月,ねんげつ,"Months, years"
年中,ねんじゅう,Throughout the year
年代,ねんだい,era
年齢,ねんれい,age
野,の,field
能,のう,Noh
農家,のうか,farmer
農業,のうぎょう,agriculture
農民,のうみん,farmer
能力,のうりょく,ability
ノー,（no）,No
軒,のき,eave
残す,のこす,to leave behind
残り,のこり,remainder
乗せる,のせる,"to transfer, to pass on, to instill"
除く,のぞく,except
望み,のぞみ,hope
望む,のぞむ,to wish
後,のち,after
ノック,ノック,knock
喉,のど,throat
伸ばす,のばす,"to lengthen, to extend, to grow"
伸びる,のびる,to grow
述べる,のべる,to describe
昇る,のぼる,rise
のんびり,のんびり,"relaxed, leisurely, unhurried"
場,ば,"place, venue, occasion, scene, situation, field"
はあ,（感）,Ugh
パーセント,パーセント,percent
はい,（感）,Yes
灰,はい,ash
梅雨,ばいう,plum rain season
バイオリン,バイオリン,violin
ハイキング,ハイキング,hiking
配達,はいたつ,delivery
パイプ,パイプ,pipe
俳優,はいゆう,actor
パイロット,パイロット,pilot
墓,はか,grave
馬鹿,ばか,idiot
博士,はかせ,Doctor
計る,はかる,to measure
履く,はく,to wear
吐く,はく,to spit
拍手,はくしゅ,applause
莫大,ばくだい,immense
爆発,ばくはつ,explosion
博物館,はくぶつかん,museum
激しい,はげしい,intense
はさみ,はさみ,scissors
破産,はさん,bankruptcy
端,はし,edge
始まり,はじまり,Beginning
パス,パス,password
外す,はずす,"to remove, to take off, to detach"
パスポート,パスポート,passport
旗,はた,flag
肌,はだ,skin
裸,はだか,naked
畑,はたけ,field
二十,はたち,twenty
働き,はたらき,working
バッグ,バッグ,bag
発見,はっけん,discovery
発行,はっこう,issuing
発車,はっしゃ,departure
罰する,ばっする,to punish
発達,はったつ,development
ばったり,ばったり,chance encounter
発展,はってん,development
発表,はっぴょう,announcement
発明,はつめい,invention
話し合う,はなしあう,to discuss
離す,はなす,to let go of
放す,はなす,to let go
離れる,はなれる,"to leave, to depart, to separate"
羽,はね,Feather
幅,はば,width
母親,ははおや,mother
省く,はぶく,"to save, to economize, to reduce"
場面,ばめん,scene
腹,はら,stomach
原,はら,original
針,はり,needle
張る,はる,to stretch
番,ばん,number
バン,バン,van
範囲,はんい,scope
反抗,はんこう,rebellion
犯罪,はんざい,crime
ハンサム,ハンサム,handsome
判断,はんだん,judgement
犯人,はんにん,criminal
販売,はんばい,sales
灯,ひ,light
ビール,ビール,beer
被害,ひがい,damage
比較,ひかく,comparison
轢く,ひく,"to hit, to run over, to mow down"
ピクニック,ピクニック,picnic
悲劇,ひげき,tragedy
飛行,ひこう,flight
膝,ひざ,knee
非常,ひじょう,extraordinary
美人,びじん,beautiful woman
額,ひたい,cover
びっくり,びっくり,surprise
日付,ひづけ,Date
必死,ひっし,desperate
ぴったり,ぴったり,"perfectly, exactly"
引っ張る,ひっぱる,"to pull, to stretch"
否定,ひてい,negation
ビデオ,ビデオ,video
一言,ひとこと,one word
人込み,ひとごみ,crowd
等しい,ひとしい,equal
独り,ひとり,alone
一人一人,ひとりひとり,one by one
批判,ひはん,criticism
批評,ひひょう,criticism
秘密,ひみつ,secret
微妙,びみょう,nuanced
紐,ひも,rope
費用,ひよう,cost
表,ひょう,surface
秒,びょう,second
評価,ひょうか,evaluation
表現,ひょうげん,expression
表情,ひょうじょう,expression
平等,びょうどう,equality
評判,ひょうばん,reputation
表面,ひょうめん,surface
広がる,ひろがる,spreading
品,ひん,"item, product, quality, grade, standard"
瓶,びん,bottle
便,びん,convenience
ピン,ピン,pin
不,ふ,not
不,ぶ,not
無,ぶ,None
分,ぶ,part
不安,ふあん,anxiety
風景,ふうけい,scenery
夫婦,ふうふ,couple
笛,ふえ,flute
不可,ふか,impossible
武器,ぶき,weapon
服装,ふくそう,clothing
含む,ふくむ,includes
袋,ふくろ,bag
不幸,ふこう,misfortune
節,ふし,segment
無事,ぶじ,safe
不思議,ふしぎ,"strange, mysterious, peculiar"
不自由,ふじゆう,unfreedom
夫人,ふじん,Mrs.
婦人,ふじん,"woman, female, ladies"
不正,ふせい,illegality
防ぐ,ふせぐ,to prevent
不足,ふそく,shortage
舞台,ぶたい,stage
双子,ふたご,Twins
再び,ふたたび,again
普段,ふだん,Normally
縁,ふち,"connection, relationship, bond, affinity, link, tie"
打つ,ぶつ,"to hit, to strike, to defeat"
物価,ぶっか,price
物質,ぶっしつ,matter
物理,ぶつり,physics
筆,ふで,pen
ふと,（副）,suddenly
船,ふね,ship
部分,ぶぶん,part
不平,ふへい,complaint
不満,ふまん,dissatisfaction
プラス,プラス,plus
プラン,プラン,plan
不利,ふり,disadvantage
振る,ふる,"to swing, to wave, to flail, to toss, to throw, to strike"
震える,ふるえる,trembling
ブレーキ,ブレーキ,brake
触れる,ふれる,to touch
風呂,ふろ,bath
プロ,プロ,professional
分,ぶん,part
文,ぶん,sentence
雰囲気,ふんいき,atmosphere
分析,ぶんせき,analysis
文明,ぶんめい,civilization
分野,ぶんや,field
塀,へい,fence
平均,へいきん,average
平和,へいわ,peace
別に,べつに,separately
減らす,へらす,reduce
減る,へる,decrease
ベルト,ベルト,belt
変化,へんか,change
ペンキ,ペンキ,paint
勉強,べんきょう,studying
変更,へんこう,change
ベンチ,ベンチ,bench
弁当,べんとう,lunch box
方,ほう,"direction, side, way, method, approach"
法,ほう,law
棒,ぼう,stick
冒険,ぼうけん,adventure
方向,ほうこう,direction
報告,ほうこく,report
宝石,ほうせき,gem
放送,ほうそう,broadcast
豊富,ほうふ,abundant
方法,ほうほう,method
方々,ほうぼう,"those, you all, everyone"
訪問,ほうもん,visit
吠える,ほえる,to bark
ボーイ,ボーイ,boy
ボート,ボート,boat
ホーム,ホーム,Home
ボール,ボール,ball
他,ほか,other
外,ほか,outside
誇り,ほこり,pride
埃,ほこり,dust
保証,ほしょう,guarantee
保存,ほぞん,conservation
程,ほど,"approximately, about, roughly, to a certain extent, to some degree"
歩道,ほどう,sidewalk
仏,ほとけ,Buddha
骨,ほね,bone
炎,ほのお,flame
頬,ほほ,cheek
頬,ほお,cheek
ほぼ,ほぼ,"approximately, almost, nearly"
微笑む,ほほえむ,smiles
褒める,ほめる,to praise
濠,ほり,Moat
本当,ほんと,really
本当,ほんとう,really
本人,ほんにん,themselves
本物,ほんもの,real
ぼんやり,ぼんやり,vaguely
間,ま,"space, interval, gap, between"
まあ,まあ,Well
マーケット,マーケット,market
マイク,マイク,microphone
迷子,まいご,lost child
任せる,まかせる,to entrust
幕,まく,curtain
負け,まけ,loss
孫,まご,grandchild
まさか,まさか,Surely not
まさに,まさに,"precisely, exactly, precisely"
真面目,まじめ,serious
増す,ます,increasing
先ず,まず,First
貧しい,まずしい,poor
マスター,マスター,master
ますます,ますます,increasingly
又,また,again
未だ,まだ,"still, yet, not yet"
街,まち,city
間違い,まちがい,mistake
松,まつ,pine
真っ赤,まっか,bright red
真っ直ぐ,まっすぐ,Straight
全く,まったく,completely
祭,まつり,festival
学ぶ,まなぶ,to learn
真似,まね,imitation
招く,まねく,to invite
ママ,ママ,Mom
豆,まめ,bean
守る,まもる,to protect
丸,まる,round
円,まる,yen
丸い,まるい,round
まるで,まるで,as if
回す,まわす,to turn
回り,まわり,round; circular; circuit; loop; go around
万一,まんいち,In case of
満足,まんぞく,satisfaction
身,み,"body, self, person, being"
実,み,real
見送り,みおくり,farewell
味方,みかた,ally
見事,みごと,magnificent
ミス,ミス,miss
満ちる,みちる,to be full; to be abundant; to overflow
密,みつ,"close, intimate, secret, confidential, dense"
認める,みとめる,acknowledge
皆,みんな,Everyone
見舞い,みまい,visiting
土産,みやげ,souhon
都,みやこ,Capital
妙,みょう,"wonderful, amazing, remarkable, extraordinary, skillful, clever, ingenious, subtle, delicate, exquisite"
明後日,みょうごにち,the day after tomorrow
未来,みらい,future
魅力,みりょく,charm
見る,みる,to see
ミルク,ミルク,milk
無,む,None
向かい,むかい,opposite
迎え,むかえ,greeting; welcome; reception
向く,むく,"to turn, to face"
向ける,むける,"to direct, to aim, to point, to turn"
無視,むし,ignore
虫歯,むしば,tooth decay
寧ろ,むしろ,rather
結ぶ,むすぶ,to tie up
無駄,むだ,waste
夢中,むちゅう,"enthusiastic, absorbed, engrossed"
胸,むね,chest
無料,むりょう,free
芽,め,sprout
明確,めいかく,clear
命じる,めいじる,to order
名人,めいじん,"master, expert, celebrity"
命令,めいれい,instruction
迷惑,めいわく,annoyance
飯,めし,meal
滅多に,めったに,rarely
メモ,メモ,Note
面,めん,face
綿,めん,cotton
免許,めんきょ,license
面倒,めんどう,"inconvenience, trouble, hassle, difficulty"
メンバー,メンバー,members
申し込む,もうしこむ,to apply
申し訳,もうしわけ,apology
毛布,もうふ,blanket
燃える,もえる,burning
目的,もくてき,purpose
目標,もくひょう,goal
木曜,もくよう,Thursday
文字,もじ,character
文字,もんじ,character
もしも,もしも,if
持ち上げ,もちあげる,lifting
用いる,もちいる,to use
勿論,もちろん,Of course
最も,もっとも,most
尤も,もっとも,especially
元,もと,"original, first"
基,もと,"foundation, basis, core"
素,もと,raw
戻す,もどす,return
基づく,もとづく,based on
求める,もとめる,"to seek, to desire, to request, to aim for"
者,もの,"person, individual, entity"
物音,ものおと,sound
物語,ものがたり,story
物事,ものごと,things
模様,もよう,pattern
貰う,もらう,to receive
文句,もんく,complaint
やがて,やがて,eventually
役,やく,role
約,やく,approximately
訳,やく,translation
役割,やくわり,role
家賃,やちん,rent
厄介,やっかい,troublesome
宿,やど,"inn, lodging"
雇う,やとう,to hire
屋根,やね,roof
やはり,やはり,as expected
破る,やぶる,to break
辞める,やめる,"to quit, to resign, to retire"
やや,やや,somewhat
唯一,ゆいいつ,unique
勇気,ゆうき,courage
有効,ゆうこう,effective
優秀,ゆうしゅう,excellent
優勝,ゆうしょう,winning
友情,ゆうじょう,friendship
友人,ゆうじん,friend
有能,ゆうのう,capable
郵便,ゆうびん,postal service
夕べ,ゆうべ,dusk
ユーモア,ユーモア,humor
有利,ゆうり,advantage
床,ゆか,floor
愉快,ゆかい,pleasing
輸出,ゆしゅつ,export
譲る,ゆずる,"to give way, to concede, to yield"
豊か,ゆたか,"abundant, rich, prosperous"
ゆっくり,ゆっくり,slowly
輸入,ゆにゅう,import
許す,ゆるす,forgive
夜,よ,Night
夜明け,よあけ,Dawn
様,よう,"various, esteemed, honorable, respected, sir, madam, Mr., Ms., Mrs."
酔う,よう,to get drunk
容易,ようい,easy
陽気,ようき,cheerful
要求,ようきゅう,request
用心,ようじん,care
様子,ようす,"state, condition, appearance, situation"
要するに,ようするに,In other words
要素,ようそ,element
要点,ようてん,Key points
曜日,ようび,Day of the week
ヨーロッパ,ヨーロッパ,Europe
予期,よき,anticipation
横切る,よこぎる,to cut across; to intersect
予算,よさん,budget
止す,よす,to stop
予測,よそく,prediction
ヨット,ヨット,yacht
夜中,よなか,midnight
世の中,よのなか,The world
余分,よぶん,extra
予報,よほう,forecast
予防,よぼう,prevention
読み,よみ,read
嫁,よめ,wife
余裕,よゆう,leeway
より,より,more
よると,よると,to follow
喜び,よろこび,joy
宜しい,よろしい,"Okay, good, alright, fine, satisfactory"
よろしく,（感）,"Please, thank you, I will, I will do my best"
四,よん,four
来,らい,come
ライター,ライター,writer
楽,らく,"easy, comfortable, pleasant, enjoyable, relaxed, free"
ラケット,ラケット,racket
利益,りえき,profit
理解,りかい,understanding
陸,りく,land
利口,りこう,clever
離婚,りこん,divorce
理想,りそう,ideal
率,りつ,rate
立派,りっぱ,impressive
留学,りゅうがく,Study abroad
流行,りゅうこう,trend
量,りょう,quantity
両替,りょうがえ,currency exchange
料金,りょうきん,price
例,れい,Example
礼,れい,"politeness, courtesy, respect, gratitude"
礼儀,れいぎ,etiquette
冷静,れいせい,"calm, composed, rational"
列,れつ,Line
列車,れっしゃ,train
レポート,レポート,report
練習,れんしゅう,practice
連想,れんそう,association
連続,れんぞく,continuous
老人,ろうじん,old person
労働,ろうどう,labor
ロケット,ロケット,rocket
論じる,ろんじる,to discuss
論争,ろんそう,controversy
論文,ろんぶん,research paper
輪,わ,circle
ワイン,ワイン,wine
わがまま,わがまま,selfishness
別れ,わかれ,Farewell
脇,わき,side
分ける,わける,to divide
わざと,わざと,deliberately
僅か,わずか,"barely, scarcely, little"
綿,わた,cotton
話題,わだい,topic
笑い,わらい,laughter
割る,わる,to divide
悪口,わるくち,gossip
我々,われわれ,We
湾,わん,bay
